PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS08
4-character ID, P214
Station name, CorralitosCN2007
Begin Date, 2007-09-19
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, P214.pbo.igs08.pos
Offset from source file, 84.80 mm North, -111.12 mm East, -7.41 mm Vertical
Reference position, 37.0010206703 North Latitude, -121.7965693295 East Longitude, 73.27046 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2012-07-15,92.10, -173.76, 3.60, 2.37, 2.06, 10.98, repro,
2012-07-16,92.13, -173.96, -1.84, 2.41, 2.11, 11.23, repro,
2012-07-17,91.51, -172.82, -1.33, 2.35, 2.08, 10.91, repro,
2012-07-18,92.98, -173.58, -3.18, 2.38, 2.08, 11.03, repro,
2012-07-19,93.04, -172.86, -5.47, 2.42, 2.11, 11.14, repro,
2012-07-20,92.68, -172.78, -1.17, 2.53, 2.2, 11.61, repro,
2012-07-21,93.06, -173.20, -8.34, 2.36, 2.02, 10.67, repro,
2012-07-22,91.66, -172.94, 1.70, 2.35, 2.05, 10.65, repro,
2012-07-23,90.13, -173.53, 7.52, 2.43, 2.12, 11.29, repro,
2012-07-24,92.44, -172.93, -5.95, 2.26, 1.96, 10.46, repro,
2012-07-25,93.40, -173.42, -6.53, 2.36, 2.07, 10.93, repro,
2012-07-26,91.90, -175.06, 5.36, 2.5, 2.19, 11.63, repro,
2012-07-27,91.63, -174.95, 7.28, 2.39, 2.06, 10.98, repro,
2012-07-28,91.30, -174.88, 1.21, 2.34, 2.05, 11.02, repro,
2012-07-29,91.28, -173.90, -0.28, 2.38, 2.06, 10.99, repro,
2012-07-30,91.94, -174.21, -1.63, 2.34, 2.03, 10.9, repro,
2012-07-31,92.96, -173.07, -6.88, 2.39, 2.08, 11.13, repro,
2012-08-01,91.41, -175.95, 2.44, 2.32, 2.01, 10.58, repro,
2012-08-02,90.41, -174.15, 4.57, 2.38, 2.09, 11.23, repro,
2012-08-03,91.22, -175.86, 13.18, 2.29, 2.01, 10.93, repro,
2012-08-04,92.44, -174.53, 4.30, 2.32, 2, 10.8, repro,
2012-08-05,92.59, -174.33, -0.18, 2.51, 2.17, 11.73, repro,
2012-08-06,93.51, -174.31, -10.49, 2.3, 1.99, 10.68, repro,
2012-08-07,93.38, -174.17, -1.44, 2.35, 2.04, 11.06, repro,
2012-08-08,93.15, -176.27, 2.46, 2.38, 2.1, 11.31, repro,
2012-08-09,93.64, -175.86, 0.12, 2.38, 2.04, 11.08, repro,
2012-08-10,93.05, -174.28, 7.27, 2.46, 2.13, 11.53, repro,
2012-08-11,93.90, -175.63, -0.46, 2.41, 2.07, 11.14, repro,
2012-08-12,92.85, -176.28, 6.26, 2.36, 2.04, 10.95, repro,
2012-08-13,93.97, -175.39, 2.28, 2.59, 2.2, 11.93, repro,
2012-08-14,93.41, -177.27, -2.02, 2.41, 2.07, 11.21, repro,
2012-08-15,93.52, -175.97, -0.43, 2.57, 2.21, 11.92, repro,
2012-08-16,92.56, -177.96, 5.70, 2.44, 2.11, 11.52, repro,
2012-08-17,91.77, -177.34, 3.51, 2.54, 2.15, 11.78, repro,
2012-08-18,93.03, -178.04, 2.04, 2.48, 2.18, 11.64, repro,
2012-08-19,93.58, -176.22, 3.87, 2.4, 2.04, 10.78, repro,
2012-08-20,93.14, -176.82, -3.01, 2.35, 2.01, 10.73, repro,
2012-08-21,94.64, -175.91, -0.87, 2.39, 2.07, 11.02, repro,
2012-08-22,94.89, -176.21, -9.89, 2.33, 1.99, 10.48, repro,
2012-08-23,95.19, -177.19, 5.51, 2.39, 2.06, 11.07, repro,
2012-08-24,95.33, -177.37, 3.24, 2.26, 1.93, 10.16, repro,
2012-08-25,94.69, -177.67, 0.91, 2.33, 1.98, 10.46, repro,
2012-08-26,93.42, -176.39, -1.15, 2.33, 1.99, 10.67, repro,
2012-08-27,93.30, -176.70, 0.10, 2.38, 2.06, 11.07, repro,
2012-08-28,93.88, -178.41, -4.55, 2.43, 2.11, 11.18, repro,
2012-08-29,95.51, -177.97, 4.38, 2.38, 2.08, 10.9, repro,
2012-08-30,95.54, -178.51, -3.77, 2.28, 1.95, 10.37, repro,
2012-08-31,94.52, -177.69, 0.86, 2.27, 1.95, 10.44, repro,
2012-09-01,94.56, -178.10, -6.09, 2.35, 2.06, 10.9, repro,
2012-09-02,96.06, -179.18, -2.04, 2.29, 1.97, 10.53, repro,
2012-09-03,96.71, -178.33, -1.86, 2.28, 1.95, 10.38, repro,
2012-09-04,96.91, -178.87, -7.68, 2.33, 2, 10.81, repro,
2012-09-05,95.50, -177.97, 3.61, 2.4, 2.05, 11.07, repro,
2012-09-06,97.54, -178.37, -0.21, 2.5, 2.11, 11.21, repro,
2012-09-07,97.08, -177.31, -1.64, 2.53, 2.22, 11.8, repro,
2012-09-08,95.51, -179.72, 6.81, 2.39, 2.06, 11.12, repro,
2012-09-09,97.05, -179.64, -2.60, 2.51, 2.14, 11.47, repro,
2012-09-10,94.42, -179.40, 7.44, 2.35, 2.04, 11.07, repro,
2012-09-11,94.86, -178.93, 1.35, 2.27, 1.98, 10.64, repro,
2012-09-12,94.97, -179.01, -3.35, 2.3, 1.99, 10.64, repro,
2012-09-13,95.43, -179.83, -1.89, 2.36, 2.05, 11.08, repro,
2012-09-14,95.87, -180.47, -7.40, 2.33, 2.05, 10.69, repro,
2012-09-15,96.92, -178.17, -4.21, 2.33, 2.01, 10.77, repro,
2012-09-16,95.62, -179.71, -5.11, 2.3, 2, 10.61, repro,
2012-09-17,95.81, -180.12, -5.02, 2.35, 2.04, 11.01, repro,
2012-09-18,95.08, -181.44, 3.09, 2.25, 1.96, 10.46, repro,
2012-09-19,96.81, -181.15, 1.18, 2.27, 1.93, 10.27, repro,
2012-09-20,95.75, -180.92, 6.30, 2.3, 1.97, 10.61, repro,
2012-09-21,95.34, -180.04, -2.30, 2.35, 2.01, 10.8, repro,
2012-09-22,94.65, -179.81, -2.00, 2.34, 2.01, 10.76, repro,
2012-09-23,96.07, -180.24, -5.03, 2.31, 1.98, 10.68, repro,
2012-09-24,95.73, -179.51, -7.48, 2.43, 2.14, 11.21, repro,
2012-09-25,97.16, -181.99, 2.38, 2.32, 1.98, 10.57, repro,
2012-09-26,95.65, -179.97, -6.47, 2.38, 2.04, 11.05, repro,
2012-09-27,95.68, -180.91, -11.16, 2.35, 1.99, 10.68, repro,
2012-09-28,95.63, -181.67, 4.14, 2.31, 2, 10.9, repro,
2012-09-29,96.49, -180.18, 0.61, 2.35, 1.99, 10.84, repro,
2012-09-30,95.56, -180.84, 0.80, 2.29, 1.97, 10.63, repro,
2012-10-01,95.97, -179.50, -5.82, 2.31, 1.98, 10.77, repro,
2012-10-02,97.07, -179.94, -6.59, 2.51, 2.16, 11.61, repro,
2012-10-03,96.04, -181.36, -2.79, 2.3, 1.98, 10.82, repro,
2012-10-04,95.95, -179.89, -5.60, 2.35, 2.03, 10.89, repro,
2012-10-05,96.87, -181.32, -2.96, 2.25, 1.94, 10.35, repro,
2012-10-06,94.41, -180.83, 5.85, 2.25, 1.96, 10.48, repro,
2012-10-07,97.28, -181.19, -0.61, 2.5, 2.17, 11.49, repro,
2012-10-08,96.90, -181.26, 1.30, 2.31, 1.99, 10.62, repro,
2012-10-09,96.41, -181.39, 5.69, 2.28, 1.97, 10.47, repro,
2012-10-10,96.90, -181.78, -2.71, 2.49, 2.14, 11.51, repro,
2012-10-11,95.59, -182.06, 0.01, 2.34, 2.06, 10.93, repro,
2012-10-12,97.45, -182.98, -2.98, 2.37, 2.08, 10.9, repro,
2012-10-13,97.85, -180.74, -0.07, 2.32, 2.01, 10.68, repro,
2012-10-14,97.41, -181.44, -3.40, 2.31, 2.01, 10.72, repro,
2012-10-15,97.66, -181.67, 5.24, 2.34, 2.05, 10.8, repro,
2012-10-16,97.28, -183.56, 6.51, 2.37, 2.05, 10.83, repro,
2012-10-17,96.83, -180.47, 5.03, 2.43, 2.1, 11.08, repro,
2012-10-18,96.09, -182.59, 6.76, 2.3, 2.02, 10.6, repro,
2012-10-19,96.24, -183.09, 2.14, 2.31, 2.02, 10.7, repro,
2012-10-20,96.56, -183.12, 15.57, 2.61, 2.23, 11.9, repro,
2012-10-21,96.42, -183.93, 5.99, 2.27, 1.98, 10.45, repro,
2012-10-22,95.96, -184.19, 9.92, 2.44, 2.11, 11.16, repro,
2012-10-23,98.49, -184.34, -10.42, 2.5, 2.18, 11.41, repro,
2012-10-24,96.36, -181.47, -2.76, 2.44, 2.11, 11.19, repro,
2012-10-25,96.24, -182.51, 1.25, 2.29, 2.02, 10.64, repro,
2012-10-26,99.04, -181.84, -9.36, 2.5, 2.18, 11.57, repro,
2012-10-27,97.23, -184.37, 4.94, 2.28, 2, 10.48, repro,
2012-10-28,96.77, -183.39, 3.32, 2.35, 2.12, 11.02, repro,
2012-10-29,95.95, -183.56, -0.09, 2.26, 2.02, 10.55, repro,
2012-10-30,98.13, -182.84, -0.99, 2.42, 2.12, 11.36, repro,
2012-10-31,96.86, -183.98, -1.47, 2.37, 2.08, 11.03, repro,
2012-11-01,96.44, -183.36, -2.67, 2.45, 2.13, 11.48, repro,
2012-11-02,96.96, -185.35, 8.93, 2.29, 2.02, 10.7, repro,
2012-11-03,96.77, -184.21, -3.59, 2.34, 2.06, 10.88, repro,
2012-11-04,96.76, -184.47, -3.63, 2.36, 2.04, 10.85, repro,
2012-11-05,97.56, -184.76, -0.70, 2.41, 2.12, 11.52, repro,
2012-11-06,96.52, -184.88, 5.22, 2.3, 2.03, 10.81, repro,
2012-11-07,95.60, -185.02, 7.56, 2.27, 2.01, 10.6, repro,
2012-11-08,97.27, -186.10, 9.32, 2.39, 2.09, 11.17, repro,
2012-11-09,98.24, -184.82, 0.89, 2.5, 2.21, 11.78, repro,
2012-11-10,96.28, -183.64, 9.19, 2.37, 2.05, 11.06, repro,
2012-11-11,97.10, -183.48, -1.24, 2.38, 2.07, 11.11, repro,
2012-11-12,97.86, -184.40, -4.89, 2.27, 1.98, 10.44, repro,
2012-11-13,96.64, -184.37, 5.17, 2.33, 2.04, 10.69, repro,
2012-11-14,96.85, -183.88, -3.83, 2.29, 1.98, 10.58, repro,
2012-11-15,98.44, -184.91, -2.49, 2.37, 2.06, 10.9, repro,
2012-11-16,96.77, -186.42, -8.51, 2.4, 2.11, 11.28, repro,
2012-11-17,95.08, -187.03, 5.08, 2.46, 2.17, 11.71, repro,
2012-11-18,97.82, -184.66, 3.64, 2.43, 2.08, 11.08, repro,
2012-11-19,96.76, -184.41, -1.48, 2.27, 1.95, 10.36, repro,
2012-11-20,97.42, -186.30, 0.42, 2.38, 2.03, 10.89, repro,
2012-11-21,99.42, -187.31, -3.57, 2.52, 2.14, 11.51, repro,
2012-11-22,97.81, -185.31, -3.65, 2.27, 1.98, 10.62, repro,
2012-11-23,96.05, -186.12, 0.51, 2.28, 2.01, 10.77, repro,
2012-11-24,99.25, -185.83, -6.80, 2.26, 1.94, 10.29, repro,
2012-11-25,96.96, -186.46, 1.45, 2.22, 1.93, 10.26, repro,
2012-11-26,97.18, -186.16, -2.67, 2.32, 2.01, 10.86, repro,
2012-11-27,97.33, -186.83, -6.25, 2.32, 2.02, 10.88, repro,
2012-11-28,96.10, -187.79, -6.42, 2.54, 2.16, 11.82, repro,
2012-11-29,96.54, -184.91, -11.50, 2.35, 2.05, 10.93, repro,
2012-11-30,96.16, -186.25, -10.99, 2.49, 2.21, 11.89, repro,
2012-12-01,99.68, -187.71, -2.51, 2.47, 2.14, 11.4, repro,
2012-12-02,98.64, -186.51, -9.13, 2.54, 2.18, 11.78, repro,
2012-12-03,99.57, -185.24, -6.45, 2.29, 2, 10.7, repro,
2012-12-04,96.93, -185.09, 0.01, 2.39, 2.09, 11.28, repro,
2012-12-05,98.92, -186.89, -5.50, 2.43, 2.12, 11.28, repro,
2012-12-06,98.57, -185.29, -7.13, 2.35, 2.12, 11.14, repro,
2012-12-07,98.60, -187.42, -3.09, 2.31, 2.08, 11.04, repro,
2012-12-08,100.12, -186.42, -4.95, 2.28, 1.97, 10.5, repro,
2012-12-09,95.18, -188.58, -9.87, 2.4, 2.14, 11.45, repro,
2012-12-10,100.24, -186.59, -2.62, 2.35, 2.06, 10.93, repro,
2012-12-11,99.65, -187.18, -5.51, 2.3, 2, 10.58, repro,
2012-12-12,98.81, -188.22, -3.96, 2.42, 2.13, 11.19, repro,
2012-12-13,100.01, -188.14, -7.03, 2.29, 2.01, 10.58, repro,
2012-12-14,99.29, -187.67, 0.47, 2.3, 2.02, 10.56, repro,
2012-12-15,100.29, -186.32, -5.21, 2.31, 2.03, 10.63, repro,
2012-12-16,99.81, -187.40, 3.38, 2.26, 1.97, 10.27, repro,
2012-12-17,100.82, -189.28, 0.49, 2.41, 2.12, 11.32, repro,
2012-12-18,99.29, -188.03, -7.17, 2.42, 2.16, 11.19, repro,
2012-12-19,101.33, -188.05, -4.77, 2.29, 1.99, 10.38, repro,
2012-12-20,99.44, -188.27, -8.20, 2.29, 2.02, 10.48, repro,
2012-12-21,99.50, -188.73, -0.66, 2.27, 1.98, 10.25, repro,
2012-12-22,100.68, -189.94, -4.81, 2.41, 2.12, 11.25, repro,
2012-12-23,101.45, -186.62, -15.42, 2.52, 2.17, 11.62, repro,
2012-12-24,97.74, -186.71, -10.63, 2.51, 2.24, 11.72, repro,
2012-12-25,99.95, -188.12, -5.27, 2.38, 2.07, 10.78, repro,
2012-12-26,101.23, -188.78, -12.52, 2.5, 2.2, 11.57, repro,
2012-12-27,100.28, -187.44, -11.07, 2.34, 2.04, 10.68, repro,
2012-12-28,99.62, -188.30, -14.10, 2.3, 2.03, 10.59, repro,
2012-12-29,100.74, -188.56, -7.31, 2.33, 2.02, 10.52, repro,
2012-12-30,102.07, -189.15, -15.94, 2.33, 2.03, 10.46, repro,
2012-12-31,99.83, -189.03, -7.06, 2.29, 2.01, 10.44, repro,
2013-01-01,100.46, -187.06, -9.04, 2.31, 2.06, 10.49, repro,
2013-01-02,100.39, -188.35, -13.98, 2.26, 2, 10.21, repro,
2013-01-03,99.81, -189.06, -10.30, 2.24, 1.96, 10, repro,
2013-01-04,101.22, -189.32, -7.02, 2.31, 2, 10.24, repro,
2013-01-05,99.55, -189.21, -14.05, 2.32, 2.02, 10.38, repro,
2013-01-06,101.49, -188.39, -9.30, 2.35, 2.04, 10.6, rern6,
2013-01-07,102.18, -188.90, -17.76, 2.33, 2.04, 10.59, rern6,
2013-01-08,100.97, -190.10, -9.95, 2.26, 1.97, 10.17, rern6,
2013-01-09,101.77, -189.97, -6.62, 2.29, 1.98, 10.19, rern6,
2013-01-10,100.38, -192.37, 0.20, 2.41, 2.11, 10.76, rern6,
2013-01-11,100.25, -188.00, -5.81, 2.28, 1.96, 10.13, rern6,
2013-01-12,99.97, -188.35, -7.89, 2.27, 1.98, 10.26, rern6,
2013-01-13,101.27, -189.62, -7.78, 2.19, 1.89, 9.76, rern6,
2013-01-14,103.09, -190.31, -5.14, 2.24, 1.94, 9.99, rern6,
2013-01-15,100.99, -189.77, -5.30, 2.27, 1.99, 10.28, rern6,
2013-01-16,102.22, -189.72, -6.43, 2.31, 1.94, 10.29, rern6,
2013-01-17,101.19, -190.85, -5.19, 2.24, 1.9, 9.96, rern6,
2013-01-18,101.81, -189.56, -9.48, 2.25, 1.96, 10.09, rern6,
2013-01-19,101.59, -191.24, -5.10, 2.26, 1.95, 10.11, rern6,
2013-01-20,100.84, -191.03, -0.76, 2.24, 1.93, 9.98, rern6,
2013-01-21,100.99, -191.89, 4.13, 2.26, 1.93, 10.1, rern6,
2013-01-22,100.34, -192.43, 2.14, 2.22, 1.91, 10.11, rern6,
2013-01-23,101.95, -192.12, 0.31, 2.34, 1.99, 10.36, rern6,
2013-01-24,102.61, -192.18, -9.32, 2.32, 2.01, 10.46, rern6,
2013-01-25,102.40, -191.78, -5.07, 2.36, 2.01, 10.56, rern6,
2013-01-26,100.77, -191.77, 4.56, 2.38, 2.06, 10.94, rern6,
2013-01-27,101.77, -191.75, -5.91, 2.29, 1.97, 10.23, rern6,
2013-01-28,100.04, -192.29, 1.69, 2.22, 1.9, 10.07, rern6,
2013-01-29,102.86, -192.74, 0.22, 2.25, 1.93, 10.16, rern6,
2013-01-30,101.56, -193.06, -3.53, 2.27, 1.93, 10.14, rern6,
2013-01-31,102.20, -192.05, -4.47, 2.27, 1.98, 10.32, rern6,
2013-02-01,102.92, -192.52, -1.74, 2.28, 2, 10.45, rern6,
2013-02-02,100.72, -192.26, -1.68, 2.26, 1.94, 10.2, rern6,
2013-02-03,102.37, -192.52, -7.88, 2.26, 1.94, 10.06, rern6,
2013-02-04,102.91, -192.94, 1.14, 2.24, 1.92, 9.97, rern6,
2013-02-05,101.45, -193.44, 5.28, 2.3, 2, 10.5, rern6,
2013-02-06,103.12, -193.76, -3.11, 2.43, 2.04, 10.78, rern6,
2013-02-07,102.89, -193.41, -5.55, 2.34, 2.03, 10.69, rern6,
2013-02-08,101.18, -194.33, 4.51, 2.3, 1.99, 10.48, rern6,
2013-02-09,101.54, -193.45, 0.59, 2.26, 1.94, 10.12, rern6,
2013-02-10,102.49, -193.58, -5.83, 2.26, 1.95, 10.13, rern6,
2013-02-11,103.04, -195.20, -3.82, 2.26, 1.91, 10.01, rern6,
2013-02-12,104.01, -193.70, -1.96, 2.32, 1.97, 10.35, rern6,
2013-02-13,103.31, -193.37, -6.56, 2.3, 2.01, 10.6, rern6,
2013-02-14,103.38, -193.89, 0.97, 2.23, 1.9, 9.84, rern6,
2013-02-15,102.15, -193.05, -2.28, 2.26, 1.94, 10.04, rern6,
2013-02-16,103.43, -194.62, -2.40, 2.2, 1.86, 9.61, rern6,
2013-02-17,103.29, -194.32, 2.54, 2.3, 1.99, 10.27, rern6,
2013-02-18,103.45, -194.20, 6.49, 2.27, 1.93, 10.18, rern6,
2013-02-19,102.94, -196.49, 7.20, 2.31, 1.96, 10.32, rern6,
2013-02-20,101.66, -194.99, 5.17, 2.27, 1.95, 10.11, rern6,
2013-02-21,102.52, -195.78, 1.53, 2.28, 1.93, 10.06, rern6,
2013-02-22,105.16, -194.50, -4.32, 2.31, 1.96, 10.27, rern6,
2013-02-23,103.85, -195.08, 3.00, 2.37, 1.99, 10.33, rern6,
2013-02-24,103.45, -194.03, -4.38, 2.25, 1.94, 9.97, rern6,
2013-02-25,104.60, -195.25, -3.29, 2.19, 1.89, 9.88, rern6,
2013-02-26,107.00, -194.85, -4.82, 2.27, 1.93, 10.01, rern6,
2013-02-27,105.30, -194.38, -3.26, 2.23, 1.94, 10, rern6,
2013-02-28,106.52, -194.79, -12.18, 2.32, 2.02, 10.55, rern6,
2013-03-01,104.35, -193.96, -8.69, 2.2, 1.89, 9.74, rern6,
2013-03-02,103.64, -195.92, -0.84, 2.23, 1.92, 9.94, rern6,
2013-03-03,105.43, -195.86, 0.21, 2.32, 2.02, 10.5, rern6,
2013-03-04,103.52, -195.51, -3.55, 2.24, 1.92, 9.99, rern6,
2013-03-05,104.92, -194.66, -7.32, 2.27, 1.98, 10.38, rern6,
2013-03-06,104.91, -197.81, 12.73, 2.43, 2.12, 10.93, rern6,
2013-03-07,103.92, -196.72, 3.11, 2.3, 2.03, 10.41, rern6,
2013-03-08,104.46, -196.23, -1.63, 2.33, 2.03, 10.55, rern6,
2013-03-09,103.81, -194.75, -2.25, 2.28, 1.98, 10.15, rern6,
2013-03-10,105.74, -195.98, -8.32, 2.29, 1.99, 10.25, rern6,
2013-03-11,104.16, -194.50, -6.02, 2.27, 2.01, 10.27, rern6,
2013-03-12,105.63, -196.86, -2.62, 2.24, 1.97, 10.03, rern6,
2013-03-13,105.75, -197.25, -6.21, 2.24, 1.99, 10.18, rern6,
2013-03-14,105.92, -196.74, -9.80, 2.27, 1.98, 10.11, rern6,
2013-03-15,104.71, -197.00, -6.39, 2.29, 1.98, 10.16, rern6,
2013-03-16,107.53, -196.85, -6.54, 2.34, 2.04, 10.48, rern6,
2013-03-17,104.19, -195.05, -4.45, 2.25, 1.98, 10.1, rern6,
2013-03-18,106.89, -197.19, -9.20, 2.25, 1.98, 10.17, rern6,
2013-03-19,105.68, -196.98, -12.78, 2.25, 1.98, 10.31, rern6,
2013-03-20,106.98, -198.03, -9.00, 2.39, 2.08, 10.81, rern6,
2013-03-21,105.20, -196.61, -7.86, 2.29, 2.03, 10.55, rern6,
2013-03-22,103.25, -198.28, -4.38, 2.26, 2, 10.32, rern6,
2013-03-23,105.88, -196.64, -7.53, 2.3, 2.02, 10.64, rern6,
2013-03-24,106.29, -198.51, -11.19, 2.25, 1.98, 10.32, rern6,
2013-03-25,105.62, -198.32, -5.44, 2.22, 1.94, 10.06, rern6,
2013-03-26,104.77, -198.58, 2.25, 2.29, 2.03, 10.66, rern6,
2013-03-27,105.15, -197.41, -0.75, 2.23, 1.98, 10.3, rern6,
2013-03-28,106.40, -197.42, -9.23, 2.27, 2.02, 10.57, rern6,
2013-03-29,104.72, -197.28, -5.99, 2.29, 2.05, 10.76, rern6,
2013-03-30,105.62, -198.91, -6.21, 2.32, 2.07, 10.92, rern6,
2013-03-31,106.03, -197.81, -5.34, 2.34, 2.1, 11.08, rern6,
2013-04-01,106.25, -199.78, -9.32, 2.34, 2.12, 11.13, rern6,
2013-04-02,106.60, -198.45, -8.79, 2.3, 2.07, 10.91, rern6,
2013-04-03,105.35, -197.65, -0.25, 2.29, 2.05, 10.78, rern6,
2013-04-04,105.20, -197.22, -2.48, 4.23, 4.05, 19.7, rern6,
2013-04-05,107.54, -197.82, -7.11, 2.28, 2.08, 10.85, rern6,
2013-04-06,107.98, -198.65, -8.09, 2.29, 2.08, 10.89, rern6,
2013-04-07,106.38, -198.40, 2.44, 2.27, 2.08, 10.9, rern6,
2013-04-08,109.76, -200.43, -3.13, 2.36, 2.13, 11.12, rern6,
2013-04-09,110.02, -194.28, 7.61, 2.36, 2.13, 11.13, rern6,
2013-04-10,108.65, -197.55, 4.23, 3.37, 3.17, 15.84, rern6,
2013-04-11,106.79, -198.93, -5.20, 2.41, 2.2, 11.47, rern6,
2013-04-12,106.11, -199.44, 0.31, 2.26, 2.13, 10.8, rern6,
2013-04-13,106.49, -199.51, -2.61, 2.25, 2.05, 10.57, rern6,
2013-04-14,105.06, -198.66, -2.37, 2.26, 2.05, 10.6, rern6,
2013-04-15,106.13, -201.50, 0.43, 3.52, 3.41, 16.68, rern6,
2013-04-16,106.48, -200.17, -3.81, 2.35, 2.13, 11.02, rern6,
2013-04-17,108.25, -198.45, -18.10, 2.32, 2.1, 10.87, rern6,
2013-04-18,106.42, -199.88, -9.69, 2.3, 2.1, 10.94, rern6,
2013-04-19,107.42, -198.61, -7.33, 2.25, 2.07, 10.7, rern6,
2013-04-20,106.96, -200.42, -5.18, 3.4, 3.27, 16.23, rern6,
2013-04-21,106.65, -200.51, -1.90, 3.23, 3.14, 15.58, rern6,
2013-04-22,107.71, -199.79, -2.42, 3.39, 3.25, 16.36, rern6,
2013-04-23,106.28, -200.21, -3.24, 2.34, 2.14, 11.22, rern6,
2013-04-24,107.70, -201.45, -2.72, 3.27, 3.13, 15.81, rern6,
2013-04-25,107.91, -200.68, -1.04, 2.25, 2.05, 10.66, rern6,
2013-04-26,107.11, -200.54, -3.95, 2.32, 2.14, 11.18, rern6,
2013-04-27,107.09, -200.13, 3.75, 2.38, 2.17, 11.46, rern6,
2013-04-28,107.45, -201.16, -8.56, 2.34, 2.15, 11.34, rern6,
2013-04-29,107.67, -199.93, -2.73, 2.34, 2.11, 11.24, rern6,
2013-04-30,107.32, -201.82, -4.57, 2.38, 2.14, 11.4, rern6,
2013-05-01,106.66, -202.56, -6.44, 2.27, 2.03, 10.55, rern6,
2013-05-02,107.93, -201.52, -8.90, 2.33, 2.11, 11.08, rern6,
2013-05-03,108.12, -202.00, -10.61, 2.35, 2.12, 11.15, rern6,
2013-05-04,108.89, -201.02, -13.37, 2.41, 2.16, 11.45, rern6,
2013-05-05,110.20, -201.45, -15.31, 2.4, 2.15, 11.46, rern6,
2013-05-06,108.50, -202.87, -2.66, 2.34, 2.09, 10.95, rern6,
2013-05-07,108.41, -202.94, 3.45, 2.32, 2.09, 10.94, rern6,
2013-05-08,107.63, -203.21, -2.93, 2.34, 2.14, 11.11, rern6,
2013-05-09,109.54, -202.07, -9.22, 2.33, 2.09, 11, rern6,
2013-05-10,107.83, -203.27, -8.55, 2.43, 2.14, 11.39, rern6,
2013-05-11,107.79, -201.94, -10.27, 2.33, 2.07, 10.89, rern6,
2013-05-12,109.25, -202.66, -13.18, 2.33, 2.08, 10.8, rern6,
2013-05-13,110.59, -202.64, -5.31, 2.35, 2.09, 10.93, rern6,
2013-05-14,109.80, -202.55, -5.98, 2.35, 2.11, 11.2, rern6,
2013-05-15,109.81, -203.53, -3.23, 2.35, 2.09, 11.08, rern6,
2013-05-16,109.08, -202.69, -11.93, 2.4, 2.08, 11.11, rern6,
2013-05-17,110.57, -202.43, -13.93, 2.49, 2.19, 11.49, rern6,
2013-05-18,107.09, -202.01, 3.87, 2.3, 2.04, 10.72, rern6,
2013-05-19,110.75, -201.52, -0.90, 2.41, 2.16, 11.34, rern6,
2013-05-20,111.56, -202.96, -5.82, 2.38, 2.1, 11.02, rern6,
2013-05-21,110.32, -204.51, -12.23, 2.45, 2.2, 11.61, rern6,
2013-05-22,109.12, -204.22, -7.29, 2.36, 2.07, 10.93, rern6,
2013-05-23,109.11, -204.82, -0.93, 2.33, 2.05, 10.8, rern6,
2013-05-24,108.48, -205.10, 0.57, 2.33, 2.07, 11.02, rern6,
2013-05-25,108.46, -203.53, -8.19, 2.35, 2.09, 11.15, rern6,
2013-05-26,108.22, -203.68, -7.12, 2.37, 2.09, 11.19, rern6,
2013-05-27,109.20, -204.63, -1.25, 2.33, 2.04, 10.76, rern6,
2013-05-28,108.94, -204.78, 4.51, 2.39, 2.1, 11.08, rern6,
2013-05-29,109.44, -204.91, -3.90, 2.43, 2.16, 11.51, rern6,
2013-05-30,111.47, -202.68, -0.86, 2.39, 2.12, 11.27, rern6,
2013-05-31,109.58, -204.74, -11.53, 2.41, 2.13, 11.29, rern6,
2013-06-01,108.62, -202.49, -7.65, 2.38, 2.08, 10.83, rern6,
2013-06-02,108.92, -206.18, -2.01, 2.35, 2.09, 10.89, rern6,
2013-06-03,109.57, -205.78, -3.08, 2.33, 2.12, 11.2, rern6,
2013-06-04,110.71, -205.38, -8.33, 2.35, 2.07, 11.02, rern6,
2013-06-05,110.01, -205.11, -6.18, 2.4, 2.15, 11.36, rern6,
2013-06-06,110.68, -204.93, -2.97, 2.32, 2.05, 10.72, rern6,
2013-06-07,111.60, -205.34, -1.21, 2.34, 2.08, 10.9, rern6,
2013-06-08,111.80, -206.56, -0.42, 2.36, 2.14, 11.41, rern6,
2013-06-09,111.81, -205.90, -13.38, 2.45, 2.18, 11.62, rern6,
2013-06-10,108.74, -206.81, -0.64, 2.4, 2.14, 11.44, rern6,
2013-06-11,111.28, -205.88, -9.36, 2.39, 2.13, 11.28, rern6,
2013-06-12,108.96, -206.09, 0.43, 2.7, 2.38, 12.62, rern6,
2013-06-13,110.40, -206.67, -3.01, 2.4, 2.13, 11.33, rern6,
2013-06-14,111.34, -205.11, -13.84, 2.41, 2.2, 11.64, rern6,
2013-06-15,111.39, -207.54, -7.59, 2.41, 2.18, 11.4, rern6,
2013-06-16,111.84, -206.16, -10.46, 2.49, 2.23, 11.75, rern6,
2013-06-17,111.77, -205.51, -15.35, 2.6, 2.31, 12.23, rern6,
2013-06-18,109.98, -207.88, 2.85, 2.46, 2.22, 11.57, rern6,
2013-06-19,110.26, -207.07, -5.66, 2.36, 2.13, 11.13, rern6,
